Fund,Fund Name,Dept,Department,Cost Center,CC Name,Account,Description, FY2012 Budget 
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,500010,Salary Base Pay - Civilian," 1,005,899 "
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,500020,Salary Base Pay - Classified," 1,246,431 "
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,500040,Salary Assignment Pay - Classified, 178 
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,500050,Sal-Edu/Incen-Classfd," 72,891 "
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,500060,Overtime - Civilian," 8,790 "
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,500070,Overtime - Classified," 56,550 "
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,500110,Bilingual Pay - Civilian," 2,488 "
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,500120,Bilingual Pay - Classified," 7,517 "
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,500130,Equipment Allowance-Classified," 33,036 "
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,500150,Shift Differential Pay-Classified," 7,675 "
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,500160,Training Incent.-Classified," 124,351 "
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,500170,Weekend Prem Pay-Classified," 3,696 "
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,500190,Temporary Higher Class Pay, 22 
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,501020,Clothing Allowance - Classified," 10,905 "
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,501070,Pension - Civilian," 181,063 "
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,501090,Pension - Police," 263,032 "
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,501120,Termination Pay - Civilian," 35,931 "
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,501130,Termination Pay - Classified," 10,000 "
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,501140,Third Party Disability B-Classified," 7,644 "
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,502010,FICA - Civilian," 71,210 "
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,502020,FICA - Classified," 15,637 "
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,503010,Health Ins-Act Civilian," 136,392 "
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,503015,Basic Life Insurance - Active Civilian, 594 
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,503020,Health Ins.Act-Classified," 149,312 "
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,503025,Basic Life Insurance - Active Classified, 733 
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,503060,Long Term Disability-Civilian," 1,445 "
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,503080,Workers Compensation-Classified-Admin," 3,720 "
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,503090,Workers Compensation-Civilian-Admin," 3,400 "
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,503100,Workers Compensation-Civilian-Claim, 40 
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,503110,Workers Compensation-Classified-Claim," 1,310 "
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,504030,Unemployment Claims - Administration, 700 
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,511055,Publications & Printed Materials, 30 
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,511070,Miscellaneous Office Supplies ," 1,490 "
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,511125,Food Supplies," 5,186 "
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,511150,Miscellaneous Parts & Supplies," 1,136 "
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,520765,Membership & Professional Fees," 1,080 "
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,520805,Education & Training," 1,306 "
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,520905,Travel - Training Related," 2,000 "
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,520910,Travel - Non-Training Related," 18,000 "
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,521610,Voice Services, 30 
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,521725,Other Rental," 2,000 "
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,522430,Miscellaneous Other Services & Charges," 3,000 "
1000,General Fund,1000,Police Department,1000010002,HPD - Budget & Finance,500010,Salary Base Pay - Civilian," 2,546,739 "
1000,General Fund,1000,Police Department,1000010002,HPD - Budget & Finance,500060,Overtime - Civilian," 29,302 "
1000,General Fund,1000,Police Department,1000010002,HPD - Budget & Finance,500110,Bilingual Pay - Civilian, 840 
1000,General Fund,1000,Police Department,1000010002,HPD - Budget & Finance,501070,Pension - Civilian," 458,414 "
1000,General Fund,1000,Police Department,1000010002,HPD - Budget & Finance,501120,Termination Pay - Civilian," 128,400 "
1000,General Fund,1000,Police Department,1000010002,HPD - Budget & Finance,501160,Vehicle Allowance - Civilian," 2,100 "
1000,General Fund,1000,Police Department,1000010002,HPD - Budget & Finance,502010,FICA - Civilian," 191,217 "
1000,General Fund,1000,Police Department,1000010002,HPD - Budget & Finance,503010,Health Ins-Act Civilian," 369,171 "
1000,General Fund,1000,Police Department,1000010002,HPD - Budget & Finance,503015,Basic Life Insurance - Active Civilian," 1,507 "
1000,General Fund,1000,Police Department,1000010002,HPD - Budget & Finance,503060,Long Term Disability-Civilian," 3,825 "
1000,General Fund,1000,Police Department,1000010002,HPD - Budget & Finance,503090,Workers Compensation-Civilian-Admin," 9,000 "
1000,General Fund,1000,Police Department,1000010002,HPD - Budget & Finance,504030,Unemployment Claims - Administration," 1,575 "
1000,General Fund,1000,Police Department,1000010002,HPD - Budget & Finance,511045,Computer Supplies," 1,376 "
1000,General Fund,1000,Police Department,1000010002,HPD - Budget & Finance,511060,Postage," 148,600 "
1000,General Fund,1000,Police Department,1000010002,HPD - Budget & Finance,511070,Miscellaneous Office Supplies ," 5,711 "
1000,General Fund,1000,Police Department,1000010002,HPD - Budget & Finance,511090,Medical & Surgical Supplies," 1,286 "
