Fund,Fund Name,Dept,Department,Cost Center,CC Name,Account,Description, FY2010 Budget 
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,500010,Salary Base Pay - Civilian," 997,461 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,500020,Salary Base Pay - Classified," 1,320,119 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,500050,Sal-Edu/Incen-Classfd," 75,000 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,500060,Overtime - Civilian," 10,800 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,500070,Overtime - Classified," 106,493 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,500090,Premium Pay - Civilian, 19 
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,500110,Bilingual Pay - Civilian," 3,642 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,500120,Bilingual Pay - Classified," 8,076 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,500130,Equipment Allowance-Classified," 40,699 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,500150,Shift Differential Pay-Classified," 3,699 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,500160,Training Incent.-Classified," 148,261 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,500170,Weekend Prem Pay-Classified," 1,285 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,501020,Clothing Allowance - Classified," 13,600 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,501070,Pension - Civilian," 146,627 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,501090,Pension - Police," 310,000 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,501120,Termination Pay - Civilian, 411 
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,501140,Third Party Disability B-Classified," 10,464 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,502010,FICA - Civilian," 71,546 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,502020,FICA - Classified," 15,312 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,503010,Health Ins-Act Civilian," 148,051 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,503015,Basic Life Insurance - Active Civilian, 559 
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,503020,Health Ins.Act-Classified," 155,535 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,503025,Basic Life Insurance - Active Classified, 781 
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,503060,Long Term Disability-Civilian," 1,615 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,503080,Workers Compensation-Classified-Admin," 4,200 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,503090,Workers Compensation-Civilian-Admin," 3,990 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,503100,Workers Compensation-Civilian-Claim," 4,295 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,503110,Workers Compensation-Classified-Claim," 6,446 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,504020,Compensation Contingency," 853,027 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,504030,Unemployment Claims, 665 
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,511040,Audiovisual Supplies," 2,041 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,511045,Computer Supplies," 1,010 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,511050,Paper & Printing Supplies," 2,032 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,511055,Publications & Printed Materials," 2,500 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,511070,Miscellaneous Office Supplies ," 1,490 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,511150,Miscellaneous Parts & Supplies, 997 
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,520520,Printing & Reproduction Services," 3,626 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,520765,Membership & Professional Fees, 581 
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,520805,Education & Training," 2,500 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,520910,Travel - Non-Training Related," 21,000 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,521610,Voice Services," 4,644 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,521725,Other Rental," 2,000 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,522430,Miscellaneous Other Services & Charges," 3,111 "
1000,General Fund,1000,Police Department,1000010002,HPD-Budget & Finance,500010,Salary Base Pay - Civilian," 3,059,822 "
1000,General Fund,1000,Police Department,1000010002,HPD-Budget & Finance,500060,Overtime - Civilian," 35,245 "
1000,General Fund,1000,Police Department,1000010002,HPD-Budget & Finance,501070,Pension - Civilian," 449,793 "
1000,General Fund,1000,Police Department,1000010002,HPD-Budget & Finance,501120,Termination Pay - Civilian," 47,465 "
1000,General Fund,1000,Police Department,1000010002,HPD-Budget & Finance,502010,FICA - Civilian," 230,989 "
1000,General Fund,1000,Police Department,1000010002,HPD-Budget & Finance,503010,Health Ins-Act Civilian," 466,011 "
1000,General Fund,1000,Police Department,1000010002,HPD-Budget & Finance,503015,Basic Life Insurance - Active Civilian," 1,729 "
1000,General Fund,1000,Police Department,1000010002,HPD-Budget & Finance,503060,Long Term Disability-Civilian," 4,975 "
