Fund,Fund Name,Dept,Department,Cost Center,CC Name,Account,Description, FY2013 Budget 
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,500010,Salary Base Pay - Civilian," 996,855 "
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,500020,Salary Base Pay - Classified," 1,465,330 "
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,500040,Salary Assignment Pay - Classified, 310 
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,500050,Sal-Edu/Incen-Classfd," 74,303 "
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,500060,Overtime - Civilian," 11,790 "
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,500070,Overtime - Classified," 57,943 "
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,500110,Bilingual Pay - Civilian," 2,826 "
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,500120,Bilingual Pay - Classified," 7,651 "
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,500130,Equipment Allowance-Classified," 33,577 "
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,500150,Shift Differential Pay-Classified," 7,675 "
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,500160,Training Incent.-Classified," 122,358 "
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,500170,Weekend Prem Pay-Classified," 3,696 "
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,500190,Temporary Higher Class Pay, 76 
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,501020,Clothing Allowance - Classified," 14,542 "
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,501070,Pension - Civilian," 213,325 "
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,501090,Pension - Police," 362,425 "
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,501120,Termination Pay - Civilian," 35,931 "
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,501130,Termination Pay - Classified," 10,000 "
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,501140,Third Party Disability B-Classified," 8,742 "
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,502010,FICA - Civilian," 57,927 "
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,502020,FICA - Classified," 14,814 "
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,503010,Health Ins-Act Civilian," 130,339 "
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,503015,Basic Life Insurance - Active Civilian, 588 
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,503020,Health Ins.Act-Classified," 172,848 "
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,503025,Basic Life Insurance - Active Classified, 861 
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,503060,Long Term Disability-Civilian," 1,445 "
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,503080,Workers Compensation-Classified-Admin," 5,258 "
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,503090,Workers Compensation-Civilian-Admin," 4,063 "
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,503100,Workers Compensation-Civilian-Claim, 40 
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,503110,Workers Compensation-Classified-Claim," 1,310 "
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,504030,Unemployment Claims - Administration, 595 
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,511055,Publications & Printed Materials, 30 
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,511070,Miscellaneous Office Supplies ," 3,719 "
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,511125,Food Supplies," 5,186 "
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,511150,Miscellaneous Parts & Supplies," 1,136 "
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,520765,Membership & Professional Fees," 1,080 "
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,520805,Education & Training," 1,306 "
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,520905,Travel - Training Related," 2,000 "
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,520910,Travel - Non-Training Related," 18,000 "
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,521610,Voice Services, 30 
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,521725,Other Rental," 2,000 "
1000,General Fund,1000,Police Department,1000010001,HPD - Chief of Police,522430,Miscellaneous Other Services & Charges," 3,000 "
1000,General Fund,1000,Police Department,1000010002,HPD - Budget & Finance,500010,Salary Base Pay - Civilian," 2,483,768 "
