Fund,Fund Name,Dept,Department,Cost Center,CC Name,Account,Description, FY2009 Budget 
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,500010,Salary Base Pay - Civilian," 1,077,456 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,500020,Salary Base Pay - Classified," 1,095,598 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,500040,Salary Assignment Pay - Classified," 1,169 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,500050,Sal-Edu/Incen-Classfd," 61,560 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,500060,Overtime - Civilian," 12,000 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,500070,Overtime - Classified," 165,240 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,500090,Premium Pay - Civilian, 6 
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,500110,Bilingual Pay - Civilian," 4,198 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,500120,Bilingual Pay - Classified," 14,100 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,500130,Equipment Allowance-Classified," 40,832 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,500150,Shift Differential Pay-Classified," 3,699 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,500160,Training Incent.-Classified," 124,192 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,500170,Weekend Prem Pay-Classified," 1,285 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,500190,Temporary Higher Class Pay," 2,842 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,501020,Clothing Allowance - Classified," 12,857 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,501070,Pension - Civilian," 160,000 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,501090,Pension - Police," 231,968 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,501120,Termination Pay - Civilian, 411 
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,501140,Third Party Disability B-Classified," 8,939 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,502010,FICA - Civilian," 77,927 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,502020,FICA - Classified," 14,458 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,503010,Health Ins-Act Civilian," 126,218 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,503015,Basic Life Insurance - Active Civilian," 1,324 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,503020,Health Ins.Act-Classified," 125,647 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,503025,Basic Life Insurance - Active Classified," 1,555 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,503060,Long Term Disability-Civilian," 3,490 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,503080,Workers Compensation-Classified-Admin," 3,706 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,503090,Workers Compensation-Civilian-Admin," 4,295 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,503100,Workers Compensation-Civilian-Clm," 4,295 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,503110,Workers Compensation-Classified-Clm," 6,446 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,504020,Compensation Contingency," 612,469 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,504030,Unemployment Claims, 681 
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,511040,Audiovisual Supplies," 2,041 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,511045,Computer Supplies," 1,010 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,511050,Paper & Printing Supplies," 2,032 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,511055,Publications & Printed Materials," 2,500 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,511070,Miscellaneous Office Supplies ," 1,490 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,511150,Miscellaneous Parts & Supplies, 997 
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,520520,Printing & Reproduction Services," 1,554 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,520765,Membership & Professional Fees, 581 
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,520805,Education & Training," 1,040 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,520910,Travel - Non-Training Related," 21,000 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,521610,Voice Services," 4,644 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,521725,Other Rental," 2,000 "
1000,General Fund,1000,Police Department,1000010001,HPD-Chief of Police,522430,Miscellaneous Other Services & Charges," 3,111 "
1000,General Fund,1000,Police Department,1000010002,HPD-Budget & Finance,500010,Salary Base Pay - Civilian," 2,855,064 "
1000,General Fund,1000,Police Department,1000010002,HPD-Budget & Finance,500020,Salary Base Pay - Classified," 346,607 "
1000,General Fund,1000,Police Department,1000010002,HPD-Budget & Finance,500050,Sal-Edu/Incen-Classfd," 28,080 "
1000,General Fund,1000,Police Department,1000010002,HPD-Budget & Finance,500060,Overtime - Civilian," 88,000 "
1000,General Fund,1000,Police Department,1000010002,HPD-Budget & Finance,500070,Overtime - Classified," 18,050 "
1000,General Fund,1000,Police Department,1000010002,HPD-Budget & Finance,500120,Bilingual Pay - Classified," 6,400 "
1000,General Fund,1000,Police Department,1000010002,HPD-Budget & Finance,500130,Equipment Allowance-Classified," 15,107 "
1000,General Fund,1000,Police Department,1000010002,HPD-Budget & Finance,500160,Training Incent.-Classified," 37,058 "
1000,General Fund,1000,Police Department,1000010002,HPD-Budget & Finance,500170,Weekend Prem Pay-Classified, 416 
1000,General Fund,1000,Police Department,1000010002,HPD-Budget & Finance,500190,Temporary Higher Class Pay," 2,000 "
1000,General Fund,1000,Police Department,1000010002,HPD-Budget & Finance,501020,Clothing Allowance - Classified," 6,857 "
1000,General Fund,1000,Police Department,1000010002,HPD-Budget & Finance,501070,Pension - Civilian," 423,972 "
1000,General Fund,1000,Police Department,1000010002,HPD-Budget & Finance,501090,Pension - Police," 95,516 "
1000,General Fund,1000,Police Department,1000010002,HPD-Budget & Finance,501120,Termination Pay - Civilian," 47,465 "
1000,General Fund,1000,Police Department,1000010002,HPD-Budget & Finance,501140,Third Party Disability B-Classified," 2,956 "
1000,General Fund,1000,Police Department,1000010002,HPD-Budget & Finance,502010,FICA - Civilian," 220,158 "
1000,General Fund,1000,Police Department,1000010002,HPD-Budget & Finance,502020,FICA - Classified," 4,842 "
1000,General Fund,1000,Police Department,1000010002,HPD-Budget & Finance,503010,Health Ins-Act Civilian," 357,292 "
1000,General Fund,1000,Police Department,1000010002,HPD-Budget & Finance,503015,Basic Life Insurance - Active Civilian," 3,919 "
1000,General Fund,1000,Police Department,1000010002,HPD-Budget & Finance,503020,Health Ins.Act-Classified," 40,053 "
1000,General Fund,1000,Police Department,1000010002,HPD-Budget & Finance,503025,Basic Life Insurance - Active Classified, 493 
1000,General Fund,1000,Police Department,1000010002,HPD-Budget & Finance,503060,Long Term Disability-Civilian," 9,289 "
1000,General Fund,1000,Police Department,1000010002,HPD-Budget & Finance,503080,Workers Compensation-Classified-Admin," 1,308 "
1000,General Fund,1000,Police Department,1000010002,HPD-Budget & Finance,503090,Workers Compensation-Civilian-Admin," 13,010 "
1000,General Fund,1000,Police Department,1000010002,HPD-Budget & Finance,503100,Workers Compensation-Civilian-Clm," 6,075 "
1000,General Fund,1000,Police Department,1000010002,HPD-Budget & Finance,503110,Workers Compensation-Classified-Clm," 1,312 "
1000,General Fund,1000,Police Department,1000010002,HPD-Budget & Finance,504030,Unemployment Claims," 2,077 "
1000,General Fund,1000,Police Department,1000010002,HPD-Budget & Finance,511045,Computer Supplies," 13,124 "
1000,General Fund,1000,Police Department,1000010002,HPD-Budget & Finance,511050,Paper & Printing Supplies," 2,032 "
1000,General Fund,1000,Police Department,1000010002,HPD-Budget & Finance,511055,Publications & Printed Materials," 3,150 "
1000,General Fund,1000,Police Department,1000010002,HPD-Budget & Finance,511060,Postage," 123,600 "
1000,General Fund,1000,Police Department,1000010002,HPD-Budget & Finance,511070,Miscellaneous Office Supplies ," 5,711 "
1000,General Fund,1000,Police Department,1000010002,HPD-Budget & Finance,511115,Vehicle Repair & Maintenance Supplies," 6,210 "
1000,General Fund,1000,Police Department,1000010002,HPD-Budget & Finance,511125,Food Supplies," 166,500 "
1000,General Fund,1000,Police Department,1000010002,HPD-Budget & Finance,511150,Miscellaneous Parts & Supplies," 6,190 "
1000,General Fund,1000,Police Department,1000010002,HPD-Budget & Finance,520100,Temporary Personnel Services," 1,513,000 "
1000,General Fund,1000,Police Department,1000010002,HPD-Budget & Finance,520110,Management Consulting Services," 100,000 "
1000,General Fund,1000,Police Department,1000010002,HPD-Budget & Finance,520114,Miscellaneous Support Services," 116,549 "
